요양기관명,종별코드명,시도코드명,시군구코드,시군구코드명,주소,좌표(X),좌표(Y)
백상한의원,한의원,세종시,410000,세종시,"세종특별자치시 조치원읍 새내10길 13, 13",127.2989217,36.6005048
백앤미의원,의원,세종시,410000,세종시,"세종특별자치시 절재로 194, 510호 (어진동, 중앙타운)",127.2624604,36.5082343
백헌한의원,한의원,세종시,410000,세종시,"세종특별자치시 한누리대로 1828, 시드니블루 407,408호 (반곡동)",127.3117411,36.4980544
범지기한의원,한의원,세종시,410000,세종시,"세종특별자치시 보듬3로 101, 2층 201,202호 (아름동)",127.2484095,36.5114037
보성치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 조치원읍 조치원2길 5, 5",127.2975876,36.601021
본한의원,한의원,세종시,410000,세종시,"세종특별자치시 한누리대로 2135, 스타힐타워1 201,202호 (보람동)",127.2891042,36.4783531
봄뜰부부한의원,한의원,세종시,410000,세종시,"세종특별자치시 남세종로 466, 303호 (보람동, 아평빌딩)",127.288437,36.4767037
봄봄 이비인후과의원,의원,세종시,410000,세종시,"세종특별자치시 마음로 78, 세종 스마트큐브Ⅱ 203,204호 (고운동)",127.233744,36.5055731
부강면보건지소,보건지소,세종시,410000,세종시,"세종특별자치시 부강면 부강5길 38, (부강면사무소)",127.37092,36.5297262
부강부부치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 부강면 부촌길 39, 1층",127.3667183,36.5296588
부강수플란트치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 부강면 부촌길 29, (부강면)",127.3672882,36.5289291
부강제일의원,의원,세종시,410000,세종시,"세종특별자치시 부강면 부강5길 11-1, (부강면)",127.3682714,36.5286527
부강한의원,한의원,세종시,410000,세종시,"세종특별자치시 부강면 부강1길 5, (부강면)",127.365506,36.5309544
부부내과의원,의원,세종시,410000,세종시,"세종특별자치시 금남면 용포로 113, 113",127.2811918,36.4683611
부부치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 조치원읍 도원2로 39, 2층",127.2870288,36.592725
부영의원,의원,세종시,410000,세종시,"세종특별자치시 부강면 부강로 37-1, 1~2층",127.3660282,36.529242
브이유의원,의원,세종시,410000,세종시,"세종특별자치시  나성북로 21, 센트럴타워 506호 (나성동)",127.2589217,36.4898187
블랑피부과의원,의원,세종시,410000,세종시,"세종특별자치시 절재로 194, 중앙타운 301호,302(일부)호 (어진동)",127.2624604,36.5082343
블리비의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 275, 형성프라자 301호~303호 (나성동)",127.2563759,36.4888054
비쥬얼피부과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 273, 새롬씨티 3층 302,303,304호 (나성동)",127.2564824,36.4884841
사상참경희한의원,한의원,세종시,410000,세종시,"세종특별자치시 새롬중앙로 34, 408호 (새롬동, 크리스마스빌딩)",127.2524926,36.4845919
산돌한의원,한의원,세종시,410000,세종시,"세종특별자치시 도움1로 106, 메가시티 502,508,509,514호 (종촌동)",127.2481238,36.502816
삼성마음그린정신건강의학과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 253, 에스빌딩 301호,505호 (나성동)",127.2572291,36.4868089
삼성미의원,의원,세종시,410000,세종시,"세종특별자치시 도움1로 108, 몰리브(Mallive) 4층 405~406호 (종촌동)",127.247577,36.5026384
삼성밸런스이비인후과의원,의원,세종시,410000,세종시,"세종특별자치시 아름서1길 13-12, 세종 제이디빌딩 201,202호 (아름동)",127.243243,36.5116515
삼성온가족치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 도움1로 106, 510호 (종촌동, 메가시티)",127.2481238,36.502816
삼성전기(주) 부속의원,의원,세종시,410000,세종시,"세종특별자치시 연동면 삼성길 25, 4동 1층",127.3342958,36.5406447
삼성필성형외과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 265, 명동프라자 3층 (나성동)",127.2567369,36.4878216
상쾌한이비인후과의원,의원,세종시,410000,세종시,"세종특별자치시 새롬중앙로 59, 403호 (새롬동, 새롬빌딩)",127.2503167,36.4860741
새롬숲치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 새롬중앙로 34, 311호 (새롬동, 크리스마스빌딩)",127.2524926,36.4845919
새롬정형외과의원,의원,세종시,410000,세종시,"세종특별자치시 새롬중앙로 34, 415호,416호,417호 (새롬동, 크리스마스빌딩)",127.2524926,36.4845919
새롬한의원,한의원,세종시,410000,세종시,"세종특별자치시 새롬중앙로 51, 303호 (새롬동, 에스월드빌딩)",127.2504878,36.4855255
새봄빛한의원,한의원,세종시,410000,세종시,"세종특별자치시 부강면 부강로 53, 2층 201호 (세종클리닉)",127.3650651,36.5305333
새서울치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 금남면 용포로 113, 113",127.2811918,36.4683611
새온치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 새롬중앙로 67, 304호 (새롬동, 오렌지빌딩)",127.2502282,36.4868892
생생당한의원,한의원,세종시,410000,세종시,"세종특별자치시 한누리대로 2144, 스마트허브Ⅱ 301호 (보람동)",127.2880089,36.4787706
서문365정형외과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 2281, SM메디컬센터 3층 (대평동)",127.2759102,36.4712866
서산부인과의원,의원,세종시,410000,세종시,"세종특별자치시 보듬3로 150, 아름 행복타워 3,4층 (아름동)",127.2430055,36.5122628
서울굿닥터의원,의원,세종시,410000,세종시,"세종특별자치시 새롬중앙로 55, 3층 (새롬동, 행운빌딩)",127.2504172,36.4857969
서울굿모닝치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 도움3로 105-5, 505.506호 (종촌동, 종촌중앙프라자)",127.2495396,36.504761
서울바른이치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 다정중앙로 39, 다정센터프라자2 504호 (다정동)",127.2486688,36.494013
서울봄빛안과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 265, 명동프라자 603~607호 (나성동)",127.2567369,36.4878216
서울봄빛치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 절재로 194, 중앙타운 401,402,405호 (어진동)",127.2624604,36.5082343
서울삼성안과의원,의원,세종시,410000,세종시,"세종특별자치시 도움1로 106, 메가시티 403,404,414호 (종촌동)",127.2481238,36.502816
서울삼성이비인후과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 275, 형성프라자 401~404호 (나성동)",127.2563759,36.4888054
서울소담치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 한누리대로 2018, 304~305호 (소담동, 사이언스타운)",127.2993632,36.4847414
서울신통마취통증의학과의원,의원,세종시,410000,세종시,"세종특별자치시 조치원읍 새내로 97, 3층",127.2980437,36.600399
서울아산내과의원,의원,세종시,410000,세종시,"세종특별자치시 조치원읍 새내로 97, 2층, 7층",127.2980437,36.600399
서울아산신경외과의원,의원,세종시,410000,세종시,"세종특별자치시 나성북로 9, 701,702호 (나성동, 메가타워1)",127.2578795,36.4896561
서울아산재활의학과의원,의원,세종시,410000,세종시,"세종특별자치시 절재로 194, 중앙타운 4층 406호 (어진동)",127.2624604,36.5082343
서울연합외과의원,의원,세종시,410000,세종시,"세종특별자치시 조치원읍 조치원로 22, 3층",127.2991293,36.6011976
서울연합의원,의원,세종시,410000,세종시,"세종특별자치시 소정면 소정구길 164, 103,201호",127.1568091,36.7186524
서울온가족치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 한누리대로 1844, 404,405,406호 (반곡동)",127.3099443,36.4978764
서울외과의원,의원,세종시,410000,세종시,"세종특별자치시 조치원읍 새내로 68-1, (조치원읍)",127.2988423,36.5980648
서울이사랑치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 조치원읍 세종로 2282, 3층 302,303호",127.2921118,36.5910595
서울좋은치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 한누리대로 193, 301호 (나성동, 참미르빌딩)",127.2605134,36.4820673
서울치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 조치원읍 새내로 91, 1.2.3층",127.2980091,36.5999837
서울현병원,병원,세종시,410000,세종시,"세종특별자치시 나성북로 15, MVG 4-7층 (나성동)",127.2583865,36.4897295
선비뇨기과의원,의원,세종시,410000,세종시,"세종특별자치시 조치원읍 조치원로 26, (조치원읍)",127.2995688,36.6013148
성가정신건강의학과의원,의원,세종시,410000,세종시,"세종특별자치시 조치원읍 새내로 97, 5층 1호",127.2980437,36.600399
성모안과의원,의원,세종시,410000,세종시,"세종특별자치시 조치원읍 새내로 97, 601호",127.2980437,36.600399
성모이비인후과의원,의원,세종시,410000,세종시,"세종특별자치시 조치원읍 조치원로 7, (조치원읍)",127.2976156,36.6014527
성심외과의원,의원,세종시,410000,세종시,"세종특별자치시 조치원읍 새내로 113, (조치원읍)",127.2977103,36.6019295
성원치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 절재로 194, 408.409호 (어진동, 세종드림)",127.2624604,36.5082343
세미이비인후과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 1824, 3층 301~303,308호 (반곡동)",127.312127,36.4980948
세움소아청소년과의원,의원,세종시,410000,세종시,"세종특별자치시 보듬3로 92, 310호 (아름동, 해피라움2상가)",127.2494741,36.5119072
세움치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 보듬3로 92, 310호 (아름동, 해피라움2상가)",127.2494741,36.5119072
세종 어린이 치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 보듬3로 91, 305호 (아름동, 해피라움4상가)",127.2495907,36.5113452
세종 정형외과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 583, 도담센트럴프라자 501,502,506호 (도담동)",127.2584602,36.5152951
세종365의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 1958, 법조타운A 4층 401~410호 (소담동)",127.3022365,36.4894906
세종365치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 한누리대로 245, 에스알파크원 402,403호 (나성동)",127.2576476,36.4860984
세종가톨릭정형외과의원,의원,세종시,410000,세종시,"세종특별자치시 도움1로 106, 401~402호,405~408호,416호 (종촌동, 메가시티)",127.2481238,36.502816
세종경희한방병원,한방병원,세종시,410000,세종시,"세종특별자치시 대평4길 17, 센트럴테라스 4, 5층 (대평동)",127.2759599,36.4732517
세종경희한의원,한의원,세종시,410000,세종시,"세종특별자치시 한누리대로 165, 세종메디피아 310호 (나성동)",127.2620398,36.4799392
세종고려정형외과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 2143, 금강시티타워 303~306호 (보람동)",127.2884324,36.4780565
세종국민건강의원,의원,세종시,410000,세종시,"세종특별자치시 가온로 8, 혜원빌딩 2~3층 (다정동)",127.2549045,36.4914677
세종금남치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 금남면 용포로 80, 2층",127.2814867,36.4657609
세종김안과의원,의원,세종시,410000,세종시,"세종특별자치시 보듬3로 150, 아름 행복타워 5층 501,502,503호 (아름동)",127.2430055,36.5122628
세종김연수피부과의원,의원,세종시,410000,세종시,"세종특별자치시 새롬중앙로 64, 세종영광프라자 4층 402호 (새롬동)",127.2509811,36.4866487
세종꾸러기소아치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 한누리대로 2012, 코끼리타워 301,302,303호 (소담동)",127.2998473,36.4853119
세종내과의원,의원,세종시,410000,세종시,"세종특별자치시 보듬3로 6, 204.205호 (도담동, 라온프라이빗시티2상가)",127.2589409,36.5128445
세종다사랑가정의학과의원,의원,세종시,410000,세종시,"세종특별자치시 도움3로 105-7, 401호 (종촌동, 메디케어)",127.2496518,36.5045141
세종대왕한의원,한의원,세종시,410000,세종시,"세종특별자치시 도움3로 105-5, 종촌 중앙프라자 204,205,206호 (종촌동)",127.2495396,36.504761
세종대일당한의원,한의원,세종시,410000,세종시,"세종특별자치시 한누리대로 157, (나성동, 금강프라자 503호)",127.2625014,36.4793087
세종드림연합의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 2264, 3층 (대평동, 씨티오브드림)",127.2767834,36.4729981
세종드림치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 한누리대로 2143, 금강시티타워 405,406호 (보람동)",127.2884324,36.4780565
