요양기관명,종별코드명,시도코드명,시군구코드,시군구코드명,주소,좌표(X),좌표(Y)
박상진내과의원,의원,전남,360500,여수시,"전라남도 여수시 여서1로 61, (여서동)",127.7040451,34.7528279
박석채내과의원,의원,전남,360014,영광군,"전라남도 영광군 영광읍 천년로12길 45, (영광읍)",126.4996735,35.2763659
박석홍가정의학과의원,의원,전남,360300,목포시,"전라남도 목포시 용당로 339, 2층 (용해동)",126.3992166,34.8169692
박석환치과의원,치과의원,전남,360400,순천시,"전라남도 순천시 해룡면 장선배기길 284, 청솔@상가동 201호",127.5298828,34.945357
박성근치과의원,치과의원,전남,360400,순천시,"전라남도 순천시 삼산로 107, (용당동)",127.4944131,34.9736989
박성식신경과의원,의원,전남,360400,순천시,"전라남도 순천시 장선배기1길 9-8, 2층 (조례동)",127.5217661,34.953507
박성용치과의원,치과의원,전남,360300,목포시,"전라남도 목포시 영산로 525, 2층 (상동)",126.4171084,34.8132592
박성철한의원,한의원,전남,360300,목포시,"전라남도 목포시 영산로 86, 1,2층 (상락동2가)",126.3857016,34.7900543
박안과의원,의원,전남,360700,광양시,"전라남도 광양시 공영로 77, 2층 (중동)",127.6977724,34.9360143
박영배내과의원,의원,전남,360500,여수시,"전라남도 여수시 망마로 21, 1,2층 (학동)",127.6655321,34.7604961
박외과의원,의원,전남,360300,목포시,"전라남도 목포시 산정로50번길 3, (산정동)",126.3933125,34.7930341
박용선내과의원,의원,전남,360200,나주시,"전라남도 나주시 영산로 5406, (성북동)",126.7197799,35.0355238
박은진성형외과의원,의원,전남,360400,순천시,"전라남도 순천시 중앙로 67, 3층 (저전동)",127.4835143,34.9516326
박이비인후과의원,의원,전남,360300,목포시,"전라남도 목포시 영산로 78, (상락동2가)",126.3853271,34.7894459
박이비인후과의원,의원,전남,360500,여수시,"전라남도 여수시 소호로 483, (소호동)",127.6534235,34.7456117
박이비인후과의원,의원,전남,360700,광양시,"전라남도 광양시 중마중앙로 87-1, 2층 (중동)",127.6977559,34.9381599
박일종내과의원,의원,전남,360300,목포시,"전라남도 목포시 영산로 250-1, 2층 (산정동)",126.3939121,34.8029329
박재한치과의원,치과의원,전남,360500,여수시,"전라남도 여수시 여서1로 88-1, (여서동)",127.7068591,34.7538983
박종선신경외과의원,의원,전남,360300,목포시,"전라남도 목포시 영산로 246-1, 1,2층 (산정동)",126.3934486,34.802676
박종춘치과의원,치과의원,전남,360016,완도군,"전라남도 완도군 고금면 고금동로 42, (고금면)",126.8041188,34.3960376
박종후정형외과의원,의원,전남,360700,광양시,"전라남도 광양시 광양읍 신재로 77, 1층",127.5884474,34.9782492
박종희치과의원,치과의원,전남,360015,영암군,"전라남도 영암군 영암읍 중앙로 74-1, (영암읍)",126.6995473,34.8024882
박지우플란트치과의원,치과의원,전남,360200,나주시,"전라남도 나주시 다시면 다시로 178, 1층 (미림정)",126.6369176,35.017197
박진비뇨기과의원,의원,전남,360021,해남군,"전라남도 해남군 해남읍 해남로 3, (해남읍)",126.6075448,34.5712012
박찬연이비인후과의원,의원,전남,360300,목포시,"전라남도 목포시 옥암로 129, 2층 (상동)",126.4244207,34.8100242
박찬호치과의원,치과의원,전남,360009,무안군,"전라남도 무안군 삼향읍 남악3로 71, 2층 217호 (더트리폴리앙아파트)",126.4597911,34.8118144
박창현내과의원,의원,전남,360300,목포시,"전라남도 목포시 청호로 128-1, (산정동)",126.3771635,34.8033767
박철홍정형외과의원,의원,전남,360300,목포시,"전라남도 목포시 송림로 73, (용해동)",126.4051514,34.8058393
박치과의원,치과의원,전남,360003,곡성군,"전라남도 곡성군 곡성읍 군청로 31-1, (곡성읍)",127.2923275,35.2810077
박치과의원,치과의원,전남,360500,여수시,"전라남도 여수시 여서로 160, (여서동)",127.6992243,34.7477627
박한의원,한의원,전남,360200,나주시,"전라남도 나주시 남평읍 남평1로 46, (남평읍)",126.8426887,35.0471953
박혜의원,의원,전남,360002,고흥군,"전라남도 고흥군 고흥읍 학교길 40, (고흥읍)",127.291395,34.6077383
반석치과의원,치과의원,전남,360022,화순군,"전라남도 화순군 화순읍 광덕로 203, (화순읍)",126.991325,35.0626162
반석치과의원,치과의원,전남,360002,고흥군,"전라남도 고흥군 고흥읍 여산당촌길 16, 2층",127.2815181,34.6076685
반석한의원,한의원,전남,360021,해남군,"전라남도 해남군 해남읍 해남로 7, (해남읍)",126.6079262,34.5711159
밝은내과21의원,의원,전남,360500,여수시,"전라남도 여수시 새터로 55, (신기동)",127.6740059,34.7610027
밝은마을정신건강의학과의원,의원,전남,360400,순천시,"전라남도 순천시 이수로 319, 3층 (조례동, 세븐빌딩)",127.5185726,34.9539104
밝은마음병원,정신병원,전남,360200,나주시,"전라남도 나주시 남평읍 세남로 1566-3, (남평읍)",126.834746,35.0272979
밝은미소치과의원,치과의원,전남,360009,무안군,"전라남도 무안군 삼향읍 남악로 267, 221호,222호호 (펠리시티5차 리버뷰)",126.46664,34.806146
밝은여수안과의원,의원,전남,360500,여수시,"전라남도 여수시 좌수영로 25, 2층 (광무동)",127.727768,34.7427437
방세환치과의원,치과의원,전남,360700,광양시,"전라남도 광양시 광양읍 신재로 65, 1층",127.5885842,34.9771988
배성철치과의원,치과의원,전남,360300,목포시,"전라남도 목포시 동부로 1, 2층 (용당동)",126.3951839,34.8041294
배홍룡한의원,한의원,전남,360400,순천시,"전라남도 순천시 중앙로 138, 1층 (매곡동)",127.4844641,34.9579138
백강우내과의원,의원,전남,360300,목포시,"전라남도 목포시 영산로 306, (용당동)",126.399101,34.8050758
백담의료재단 한울요양병원,요양병원,전남,360008,담양군,"전라남도 담양군 창평면 의병로 196, (창평면)",127.021178,35.240628
백두한의원,한의원,전남,360700,광양시,"전라남도 광양시 공영로 64, (중동)",127.6960639,34.9357021
백련한의원,한의원,전남,360300,목포시,"전라남도 목포시 용해지구로 85, 4층 405호 (연산동)",126.3913775,34.8200444
백세의원,의원,전남,360002,고흥군,"전라남도 고흥군 고흥읍 고흥로 1754, (고흥읍)",127.28595,34.607384
백세치과의원,치과의원,전남,360200,나주시,"전라남도 나주시 나주로 185, 2동 2층 201호 (중앙동)",126.7208788,35.0336212
백세치과의원,치과의원,전남,360300,목포시,"전라남도 목포시 연산로 163, (산정동)",126.3795579,34.8109561
백세한의원,한의원,전남,360200,나주시,"전라남도 나주시 예향로 3803, 영산포공용터미널 (이창동)",126.712575,34.994526
백수논산보건진료소,보건진료소,전남,360014,영광군,"전라남도 영광군 군서면 성지로 864, (군서면)",126.4516618,35.2938749
백수대신보건진료소,보건진료소,전남,360014,영광군,"전라남도 영광군 백수읍 대신길1길 1, 1",126.3913431,35.3447639
백수보건지소,보건지소,전남,360014,영광군,"전라남도 영광군 백수읍 백수로11길 16, 16",126.4209925,35.2811219
백수하사보건진료소,보건진료소,전남,360014,영광군,"전라남도 영광군 백수읍 하사길3길 17, (하사보건진료소)",126.3568542,35.2600947
백아면보건지소,보건지소,전남,360022,화순군,"전라남도 화순군 북면 학천길 10, (백아면)",127.1334864,35.1668449
백아한방병원,한방병원,전남,360022,화순군,"전라남도 화순군 화순읍 중앙로 75-0, 2~3층",126.9897545,35.0606227
백양사한의원,한의원,전남,360017,장성군,"전라남도 장성군 북이면 백양로 10, (북이면)",126.8093043,35.430099
백운한의원,한의원,전남,360700,광양시,"전라남도 광양시 폭포사랑길 99, 2층 (금호동, 백운쇼핑센터)",127.73225,34.9403013
백이비인후과의원,의원,전남,360017,장성군,"전라남도 장성군 장성읍 영천로 125-1, 125",126.7808884,35.2968064
백재활요양병원,요양병원,전남,360022,화순군,"전라남도 화순군 화순읍 대교로 147-10, (화순읍)",126.9966007,35.0638602
백제치과의원,치과의원,전남,360014,영광군,"전라남도 영광군 영광읍 중앙로 187-3, (영광읍)",126.511785,35.2759057
백제한의원,한의원,전남,360300,목포시,"전라남도 목포시 호남로64번길 22-1, 2층 (대안동)",126.3847631,34.7923312
백제한의원,한의원,전남,360017,장성군,"전라남도 장성군 장성읍 영천로 187, (장성읍)",126.7838262,35.3017768
백초당한의원,한의원,전남,360400,순천시,"전라남도 순천시 옥천길 35, (영동)",127.4815783,34.9532989
백형모치과의원,치과의원,전남,360400,순천시,"전라남도 순천시 중앙로 126, (중앙동)",127.4843782,34.9568421
벌교김내과의원,의원,전남,360010,보성군,"전라남도 보성군 벌교읍 홍암로 19, (벌교읍)",127.34684,34.8433862
벌교맑은의원,의원,전남,360010,보성군,"전라남도 보성군 벌교읍 채동선로 224, 2층",127.34436,34.8422772
벌교보건지소,보건지소,전남,360010,보성군,"전라남도 보성군 벌교읍 벌교상고길 27, 27",127.3485142,34.8457237
벌교사랑치과의원,치과의원,전남,360010,보성군,"전라남도 보성군 벌교읍 계성1길 2, (벌교읍)",127.3448002,34.8426967
벌교순천안과의원,의원,전남,360010,보성군,"전라남도 보성군 벌교읍 채동선로 224-1, (벌교읍)",127.3444493,34.8422838
법성월산보건진료소,보건진료소,전남,360014,영광군,"전라남도 영광군 법성면 용성월산로5길 238, (법성면)",126.5098383,35.3437794
법성한의원,한의원,전남,360014,영광군,"전라남도 영광군 법성면 진굴비길 47-1, (법성면)",126.4469237,35.3602573
베다내과의원,의원,전남,360400,순천시,"전라남도 순천시 해룡면 신대4길 4-25, (해룡면)",127.5520698,34.9338217
베스트e치과의원,치과의원,전남,360300,목포시,"전라남도 목포시 청호로 175, 2층 (산정동)",126.3731851,34.8061926
베스트윤연합의원,의원,전남,360500,여수시,"전라남도 여수시 쌍봉로 27-1, (학동)",127.6590936,34.7667931
