요양기관명,종별코드명,시도코드명,시군구코드,시군구코드명,주소,좌표(X),좌표(Y)
서울미성형외과의원,의원,부산,210009,부산해운대구,"부산광역시 해운대구 좌동순환로 505, 1005호~1007호 (중동)",129.1682073,35.165667
서울미소치과의원,치과의원,부산,210010,부산사하구,"부산광역시 사하구 다대로 692, (다대동)",128.9658243,35.0481941
서울미소치과의원,치과의원,부산,210014,부산수영구,"부산광역시 수영구 수영로 400, 2층 (남천동)",129.1080444,35.1418455
서울미시간치과의원,치과의원,부산,210001,부산남구,"부산광역시 남구 수영로 297, 4층 (대연동)",129.0986524,35.1370387
서울바른치과교정과치과의원,치과의원,부산,210005,부산북구,"부산광역시 북구 백양대로 1200, 정수빌딩 4층 (덕천동)",129.0058219,35.2093621
서울바른현치과의원,치과의원,부산,210009,부산해운대구,"부산광역시 해운대구 마린시티2로 2, 704,705호 (우동, 마린파크)",129.1442096,35.15934
서울백치과의원,치과의원,부산,210009,부산해운대구,"부산광역시 해운대구 윗반송로 68, 1층 (반송동)",129.1570485,35.2301295
서울뿌리튼튼치과의원,치과의원,부산,210013,부산연제구,"부산광역시 연제구 반송로 6, 청우빌딩 8층 (연산동)",129.0824809,35.186266
서울삼성내과의원,의원,부산,210100,부산기장군,"부산광역시 기장군 기장읍 차성동로116번길 5, 꽃나라꽃집 2~4층",129.2177257,35.2481929
서울삼성산부인과의원,의원,부산,210013,부산연제구,"부산광역시 연제구 월드컵대로 142-1, 동해메디컬 14층 (연산동)",129.080821,35.1866122
서울삼성치과의원,치과의원,부산,210005,부산북구,"부산광역시 북구 백양대로 1204, 동강빌딩 2층 (덕천동)",129.0059238,35.2099677
서울성모내과의원,의원,부산,210010,부산사하구,"부산광역시 사하구 다대로 694, 6층 (다대동)",128.9656085,35.0485309
서울성모안과의원,의원,부산,210100,부산기장군,"부산광역시 기장군 정관읍 정관로 563, 3층 303호 (광장메디칼)",129.1756378,35.3219389
서울성모의원,의원,부산,210010,부산사하구,"부산광역시 사하구 낙동대로 225, (괴정동)",128.9923642,35.0995853
서울수치과의원,치과의원,부산,210009,부산해운대구,"부산광역시 해운대구 해운대로 814, 310호 (좌동, 세종월드프라자)",129.1776778,35.1695768
서울숲정신건강의학과의원,의원,부산,210003,부산동래구,"부산광역시 동래구 사직북로 4, 사직동 자이언츠 파크 5층 503호 (사직동)",129.0613598,35.1962582
서울스카이재활의학과의원,의원,부산,210001,부산남구,"부산광역시 남구 수영로 324, 2층 201호 (대연동, 리마크빌 대연)",129.1015514,35.1374999
서울시온치과의원,치과의원,부산,210012,부산강서구,"부산광역시 강서구 명지오션시티11로 74, 301호 (명지동)",128.9040357,35.0840454
서울시원의원,의원,부산,210007,부산영도구,"부산광역시 영도구 남항로 7, 4층 (남항동1가)",129.0374722,35.0900499
서울신세계치과의원,치과의원,부산,210011,부산금정구,"부산광역시 금정구 금강로 441, 태영빌딩 6층 (구서동)",129.0887076,35.2469781
서울아산내과의원,의원,부산,210012,부산강서구,"부산광역시 강서구 명지국제11로 29, 2층 (명지동)",128.9217089,35.104802
서울아산내과의원,의원,부산,210100,부산기장군,"부산광역시 기장군 기장읍 차성남로51번길 30, 30",129.216562,35.2426401
서울안과의원,의원,부산,210009,부산해운대구,"부산광역시 해운대구 세실로 43, 306호 (좌동, 경동코아빌딩)",129.17845,35.1687646
서울에이스치과의원,치과의원,부산,210005,부산북구,"부산광역시 북구 만덕대로 14, 5층 (덕천동)",129.0067235,35.2102083
서울오라클치과의원,치과의원,부산,210004,부산진구,"부산광역시 부산진구 중앙대로 708, 18층 (부전동)",129.0594806,35.1561411
서울외과의원,의원,부산,210008,부산중구,"부산광역시 중구 구덕로 4, (광복동1가)",129.0351408,35.0983145
서울외과의원,의원,부산,210009,부산해운대구,"부산광역시 해운대구 양운로 82, 해운대화인크리닉센타 5층 502호 (좌동)",129.1755732,35.1704651
서울우리신경외과의원,의원,부산,210014,부산수영구,"부산광역시 수영구 수영로 675, 큐비 메디컬센터 502호 (광안동)",129.1144938,35.1659533
서울우리요양병원,요양병원,부산,210005,부산북구,"부산광역시 북구 화명대로 42, (화명동)",129.0126896,35.2344122
서울웰치과의원,치과의원,부산,210004,부산진구,"부산광역시 부산진구 가야대로 476-1, (개금동)",129.0241632,35.1529083
서울위즈덤치과의원,치과의원,부산,210004,부산진구,"부산광역시 부산진구 동평로 350, 308호 (양정동, 현대프라자)",129.0632545,35.1745373
서울윌치과의원,치과의원,부산,210005,부산북구,"부산광역시 북구 화명대로 42, 3층 (화명동, 우리메디칼)",129.0126896,35.2344122
서울재활의학과의원,의원,부산,210014,부산수영구,"부산광역시 수영구 수영로 654, 7-12층 (광안동)",129.1147319,35.1640098
서울정형외과의원,의원,부산,210005,부산북구,"부산광역시 북구 화명대로 42, 우리메디컬센터 5층 (화명동)",129.0126896,35.2344122
서울정형외과의원,의원,부산,210003,부산동래구,"부산광역시 동래구 충렬대로 233, 1-4층 (수안동)",129.0848762,35.201743
서울지온신경외과의원,의원,부산,210011,부산금정구,"부산광역시 금정구 중앙대로 1897, (구서동)",129.0911411,35.2535397
서울참어린이치과의원,치과의원,부산,210009,부산해운대구,"부산광역시 해운대구 해운대로 814, 407,408호 (좌동, 세종월드프라자)",129.1776778,35.1695768
서울참정형외과의원,의원,부산,210001,부산남구,"부산광역시 남구 수영로 216, 미즈빌딩 2, 3층 (대연동)",129.0901151,35.1347824
서울청담성형외과의원,의원,부산,210003,부산동래구,"부산광역시 동래구 아시아드대로 239-1, 월드 메디컬 타워 6층 일부호 (온천동)",129.0674535,35.2054534
서울최유라정신건강의학과의원,의원,부산,210001,부산남구,"부산광역시 남구 수영로 252, 김계영내과 4층 (대연동)",129.0941229,35.135072
서울치과의원,치과의원,부산,210009,부산해운대구,"부산광역시 해운대구 선수촌로 53, 2~3층 (반여동)",129.1183014,35.1986915
서울치과의원,치과의원,부산,210013,부산연제구,"부산광역시 연제구 중앙대로 1039, 2층 (연산동)",129.0776352,35.1814055
서울탑플란트치과의원,치과의원,부산,210013,부산연제구,"부산광역시 연제구 중앙대로 1077, 3층 (연산동)",129.0798349,35.184312
서울편한내과의원,의원,부산,210009,부산해운대구,"부산광역시 해운대구 마린시티2로 33, 104동 621~626호 (우동, 해운대두산위브더제니스)",129.145091,35.156667
서울편한내과의원,의원,부산,210012,부산강서구,"부산광역시 강서구 대저로 254, (대저1동)",128.9801567,35.2138462
